census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
04013422513,96,4,2260000,77,15
04013422514,91,4,1580000,73,14
04013422607,132,13,4565000,94,25
04013422609,105,6,2140000,75,24
04013422610,95,9,2995000,79,7
04013422615,132,15,6695000,96,21
04013422617,129,13,5855000,98,18
04013422618,84,11,3495000,72,1
04013422620,42,2,980000,38,2
04013422621,82,6,3370000,69,7
04013422622,77,6,3120000,62,9
04013422623,155,6,3680000,139,10
04013422624,17,0,0,16,1
04013422625,50,3,1095000,32,14
04013422626,46,0,0,39,7
04013422627,54,3,615000,33,18
04013422628,35,3,1105000,24,8
04013422629,45,1,295000,38,6
04013422630,80,11,2985000,39,30
04013422632,63,3,1005000,42,18
04013422633,18,0,0,14,4
04013422634,92,4,1420000,58,30
04013422636,44,1,385000,35,8
04013422637,56,2,620000,41,13
04013422638,46,4,2080000,39,3
04013422639,111,6,1770000,99,6
04013422640,83,6,2360000,71,6
04013422642,140,6,2900000,118,16
04013422643,121,9,4415000,99,13
04013422647,732,55,31815000,598,79
04013422648,140,10,5390000,111,19
04013422649,134,4,2100000,120,10
04013422650,66,5,2115000,55,6
04013422651,117,8,4190000,98,11
04013422652,39,2,510000,36,1
04013422653,79,1,405000,59,19
04013422654,160,6,3160000,138,16
04013422655,68,2,710000,57,9
04013422656,150,3,1775000,142,5
04013422657,102,4,1940000,88,10
04013422658,144,5,3805000,135,4
04013422659,6,0,0,4,2
04013422660,113,7,2575000,91,15
04013522802,3,0,0,2,1
04013522901,124,12,4870000,88,24
04013522903,25,1,385000,21,3
04013522904,54,2,820000,44,8
04013523002,71,2,850000,57,12
04013523005,92,4,1940000,78,10
04013523006,82,4,2590000,66,12
04013523007,43,2,700000,35,6
04013523008,79,2,790000,69,8
04013523102,41,2,880000,31,8
04013523103,70,4,1420000,58,8
04013523104,53,3,1345000,42,8
04013610001,70,8,3580000,53,9
04013610002,183,11,6665000,152,20
04013610100,36,2,1320000,30,4
04013610201,118,6,3140000,109,3
04013610202,105,7,3275000,85,13
04013610301,45,2,830000,39,4
04013610302,125,10,4400000,106,9
04013610400,122,6,2750000,110,6
04013610500,193,9,5745000,175,9
04013610600,136,6,4050000,126,4
04013610700,216,15,9855000,194,7
04013610800,177,3,1515000,157,17
04013610901,135,3,2565000,131,1
04013610902,88,0,0,85,3
04013610903,76,4,2360000,69,3
04013611000,64,3,1485000,59,2
04013611100,89,4,2120000,79,6
04013611200,124,1,805000,117,6
04013611300,151,4,1810000,142,5
04013611400,131,6,3630000,108,17
04013611500,141,11,7165000,123,7
04013611600,67,4,2500000,59,4
04013611700,146,6,3540000,131,9
04013611800,166,8,3230000,136,22
04013611900,112,4,2500000,101,7
04013612000,267,9,4655000,252,6
04013612200,160,8,4100000,146,6
04013612301,139,6,3240000,132,1
04013612302,79,6,3350000,68,5
04013612401,93,0,0,89,4
04013612402,126,1,365000,123,2
04013612500,121,1,925000,115,5
04013612600,76,4,2130000,69,3
04013612700,66,1,495000,63,2
04013612800,67,1,655000,62,4
04013612900,65,2,990000,59,4
04013613000,137,4,3840000,132,1
04013613100,70,4,2690000,65,1
04013613200,98,2,1810000,94,2
04013613300,139,6,3010000,129,4
04013613400,84,6,2920000,66,12
04013613500,260,15,6575000,226,19
04013613601,77,3,1555000,67,7
04013613602,137,3,1855000,131,3
04013613700,115,7,3565000,94,14
04013613800,83,7,3395000,73,3
04013613900,135,3,1765000,121,11
04013614000,80,1,515000,72,7
04013614100,97,9,4675000,79,9
04013614200,94,3,2095000,89,2
04013614300,59,1,365000,57,1
04013614400,88,4,1890000,68,16
04013614500,89,8,3370000,71,10
04013614601,60,2,600000,44,14
04013614602,38,1,395000,34,3
04013614700,27,1,205000,17,9
04013614800,75,3,855000,57,15
04013614900,52,2,930000,44,6
04013615001,135,3,1925000,130,2
04013615002,71,3,2295000,67,1
04013615100,103,0,0,102,1
04013615201,239,3,2135000,235,1
04013615202,75,2,860000,70,3
04013615300,37,3,985000,26,8
04013615400,81,9,2825000,62,10
04013615500,91,3,855000,78,10
04013615600,63,2,530000,56,5
04013615700,85,1,525000,72,12
04013615800,93,4,2260000,81,8
04013615900,65,1,305000,59,5
04013616000,30,2,1010000,27,1
04013616100,75,3,895000,59,13
04013616200,72,4,1690000,57,11
04013616300,46,2,1070000,36,8
04013616400,87,3,1185000,67,17
04013616500,65,7,2725000,38,20
04013616600,111,2,610000,83,26
04013616700,108,6,2370000,76,26
04013616800,135,7,2275000,110,18
04013616900,81,4,1810000,65,12
04013617002,109,7,2285000,77,25
04013617100,56,2,1000000,52,2
04013617200,60,1,505000,52,7
04013617300,64,3,1385000,48,13
04013617400,203,16,4740000,155,32
04013617500,106,17,5905000,72,17
04013617600,97,4,1850000,81,12
04013617700,16,0,0,15,1
04013617800,50,4,2370000,46,0
04013617900,79,4,1830000,65,10
04013618000,102,11,3535000,74,17
04013618100,116,5,2605000,89,22
04013618200,57,5,1835000,36,16
04013618300,76,2,770000,62,12
04013618400,65,5,1685000,41,19
04013618500,33,2,840000,23,8
04013618600,73,3,1085000,54,16
04013618700,71,4,1340000,53,14
04013618800,39,2,600000,26,11
04013618900,111,7,3185000,75,29
04013619000,74,1,565000,68,5
04013619100,2,0,0,2,0
04013619200,30,3,835000,21,6
04013619300,83,4,1170000,73,6
04013619400,90,8,2640000,73,9
04013619500,127,3,1365000,95,29
04013619602,38,3,855000,27,8
04013619700,70,2,870000,62,6
04013619800,52,1,535000,49,2
04013619900,397,7,5135000,390,0
04013723304,266,21,8115000,194,51
04013723305,13,0,0,8,5
04013723306,2,1,355000,1,0
04013723307,158,13,5775000,117,28
04013723309,132,14,5530000,100,18
04013723310,88,8,4150000,75,5
04013723311,272,25,13245000,217,30
04013810000,23,0,0,23,0
04013810100,91,5,2735000,83,3
04013810200,38,0,0,36,2
04013810300,83,6,2350000,69,8
04013810400,97,2,970000,89,6
04013810500,60,0,0,60,0
04013810600,76,2,1040000,64,10
04013810700,61,1,505000,59,1
04013810800,51,1,325000,49,1
04013810900,99,5,2185000,81,13
04013811000,61,3,1425000,54,4
04013811100,35,1,375000,31,3
04013811200,13,0,0,13,0
04013811300,61,1,465000,51,9
04013811400,102,3,1655000,85,14
04013811500,56,2,960000,49,5
04013811600,93,1,445000,78,14
04013811700,56,7,2495000,49,0
04013811800,25,0,0,25,0
04013811900,76,4,2050000,67,5
04013812000,48,0,0,45,3
04013812100,122,3,1495000,109,10
04013812200,132,3,1435000,119,10
04013812300,58,2,1370000,54,2
04013812400,134,6,3460000,121,7
04013812500,32,2,850000,29,1
04013812600,142,6,2540000,127,9
04013812700,106,4,2230000,95,7
04013812801,63,0,0,61,2
04013812802,110,2,1780000,108,0
04013812900,48,0,0,48,0
04013813000,144,6,3500000,132,6
04013813100,85,1,545000,83,1
04013813200,90,1,715000,88,1
04013813300,120,2,1120000,116,2
04013813400,132,2,1450000,127,3
04013813500,92,1,305000,90,1
04013813600,107,3,3565000,102,2
04013813700,70,3,1445000,60,7
04013813800,112,16,5730000,82,14
04013813900,113,5,3135000,100,8
04013814000,51,2,900000,47,2
04013814100,152,16,9440000,123,13
04013814200,58,5,2365000,48,5
04013814300,78,4,2170000,69,5
04013814400,116,7,3725000,99,10
04013814500,97,3,1655000,84,10
04013814600,78,3,1245000,65,10
04013814700,112,4,1680000,99,9
04013814801,76,6,2970000,60,10
04013814802,148,8,3220000,129,11
04013814900,68,2,920000,65,1
04013815000,85,4,1890000,80,1
04013815100,109,6,2920000,87,16
04013815201,124,4,1800000,105,15
04013815202,58,2,1080000,47,9
04013815203,73,4,2070000,67,2
04013815300,78,3,2085000,71,4
04013815401,79,1,705000,77,1
04013815402,98,7,3845000,78,13
04013815501,54,4,2090000,49,1
04013815502,108,2,880000,99,7
04013815601,112,9,5485000,99,4
04013815602,99,4,1990000,81,14
04013815700,113,5,1915000,95,13
04013815800,117,6,3380000,99,12
04013815901,167,6,3090000,148,13
04013815902,401,13,9025000,383,5
04013816001,94,3,3265000,89,2
04013816002,91,6,4060000,84,1
04013816003,146,2,2040000,144,0
04013816004,264,12,6840000,213,39
04013816005,139,11,6345000,124,4
04013816100,133,5,2125000,115,13
04013816200,58,3,1755000,54,1
04013816301,64,6,2510000,54,4
04013816302,100,7,3945000,88,5
04013816401,75,4,3550000,70,1
04013816402,192,13,8345000,169,10
04013816501,56,2,1110000,51,3
04013816502,81,6,4630000,74,1
04013816600,137,9,4675000,125,3
04013816700,143,11,8635000,130,2
04013816800,188,9,5595000,169,10
04013816901,253,24,12720000,213,16
04013816902,245,13,8255000,228,4
04013816903,176,17,8385000,138,21
04013816904,316,31,19715000,263,22
04013817000,108,10,6840000,97,1
04013817101,148,8,4870000,133,7
04013817102,64,8,3580000,42,14
04013817103,132,10,5540000,105,17
04013817200,653,32,18420000,574,47
04013817300,107,7,2905000,94,6
04013817400,105,10,2880000,67,27
04013817500,94,9,3065000,76,9
04013817600,631,44,25400000,527,60
04013941000,9,0,0,3,6
04013941200,1,0,0,1,0
04013941300,7,0,0,7,0
04015940501,81,4,1820000,62,14
04015950101,96,4,1230000,78,14
04015950102,45,1,285000,33,10
04015950103,22,0,0,20,2
04015950401,32,4,500000,20,8
04015950403,49,9,1575000,30,10
04015950404,84,16,4060000,56,12
04015950500,18,2,350000,12,4
04015950601,60,11,2435000,35,14
04015950602,119,36,8300000,59,22
04015950603,52,11,2555000,23,18
04015950703,76,12,2180000,38,20
04015950705,51,8,1910000,29,14
04015950706,47,11,1535000,20,15
04015950707,98,25,6475000,51,20
04015950708,201,29,7895000,118,42
04015951401,68,6,2000000,53,9
04015951403,68,3,1315000,63,2
04015951404,28,2,330000,23,3
04015951501,54,3,825000,36,15
04015951503,44,4,1290000,38,2
04015951504,87,8,2430000,66,13
04015951601,55,7,1775000,39,9
04015951602,92,8,2270000,65,19
04015951701,24,7,1185000,11,6
04015951702,38,4,980000,21,13
04015951800,45,5,985000,25,15
04015951900,139,17,4135000,101,21
04015952001,35,3,1065000,24,8
04015952003,91,13,3315000,55,23
04015952004,109,24,6590000,64,21
04015952005,58,11,3195000,37,10
04015952006,76,9,2175000,47,20
04015952007,207,25,7865000,132,50
04015952400,116,4,1540000,104,8
04015952501,88,5,1395000,67,16
04015952502,83,6,3240000,69,8
04015952600,86,6,1730000,70,10
04015952701,53,1,375000,48,4
04015952702,64,7,4305000,54,3
04015952801,143,9,3845000,126,8
04015952802,99,6,2390000,82,11
04015952901,42,1,285000,39,2
04015952902,92,5,1745000,74,13
04015953001,32,0,0,29,3
04015953002,92,8,2600000,75,9
04015953100,89,7,1905000,74,8
04015953200,107,3,1765000,103,1
04015953301,90,4,1550000,76,10
04015953302,76,8,3000000,61,7
04015953403,60,4,1320000,49,7
04015953404,74,9,2825000,59,6
04015953405,105,11,4355000,77,17
04015953406,64,10,3790000,47,7
04015953602,27,4,1060000,16,4
04015953603,65,4,830000,38,20
04015953604,175,19,6555000,121,29
04015953800,107,15,3465000,61,24
04015953901,86,15,3735000,53,14
04015953902,96,16,4270000,62,14
04015954801,63,9,3265000,45,9
04015954802,57,15,4155000,31,11
04015954900,65,10,2430000,44,11
04015955001,60,6,1550000,39,15
04015955002,42,5,885000,30,6
04017942300,1,0,0,1,0
04017942500,2,0,0,2,0
04017960100,19,2,510000,10,7
04017960200,15,0,0,8,5
04017960400,63,8,2220000,43,12
04017960500,20,2,550000,11,6
04017960600,45,4,1040000,30,9
04017961300,78,8,3090000,60,10
04017961701,77,6,1750000,66,5
04017961702,97,8,2610000,77,12
04017962501,40,8,3170000,28,4
04017962502,52,2,1100000,45,5
04017963300,95,4,1630000,69,22
04017963400,63,6,1740000,43,13
04017963700,116,8,3160000,99,9
04017963800,89,6,2140000,63,17
04017964201,118,6,1700000,103,9
04017964202,37,2,1070000,30,5
04017964801,104,5,1655000,94,5
04017964802,119,5,1825000,102,12
04017964901,64,4,1310000,59,1
04017964902,71,2,840000,67,2
04017965201,67,3,1075000,59,5
04017965202,45,4,1700000,34,6
04017965301,53,2,860000,48,3
04017965302,94,10,3630000,69,15
04019000100,1,0,0,1,0
04019000200,54,2,340000,45,7
04019000300,17,0,0,14,3
04019000401,13,1,675000,12,0
04019000402,11,0,0,11,0
04019000501,18,0,0,18,0
04019000502,5,0,0,5,0
04019000600,67,0,0,67,0
04019000700,59,4,1260000,49,6
04019000800,33,2,750000,28,3
04019001100,37,1,195000,29,7
04019001200,35,0,0,26,9
04019001302,14,0,0,13,1
04019001303,25,2,490000,17,6
04019001304,39,0,0,28,11
04019001400,44,2,610000,37,5
04019001500,53,1,355000,49,3
04019001600,65,2,710000,59,4
04019001700,52,2,720000,46,4
04019001801,52,2,630000,45,5
04019001802,29,2,710000,21,6
04019001900,46,1,635000,39,6
04019002000,118,3,635000,87,28
04019002100,59,2,570000,37,20
04019002201,43,2,380000,29,12
04019002202,38,2,560000,27,9
04019002300,53,2,420000,26,25
04019002400,68,3,845000,37,28
04019002503,35,1,155000,29,5
04019002504,26,3,835000,20,3
04019002505,71,6,1470000,45,20
04019002507,19,0,0,13,6
04019002508,82,11,2885000,47,24
04019002509,44,2,580000,30,12
04019002602,72,6,1780000,60,6
04019002603,23,1,275000,14,8
04019002604,17,1,355000,10,6
04019002702,48,0,0,45,3
04019002703,27,0,0,25,2
04019002704,28,2,730000,23,3
04019002801,14,2,510000,9,3
04019002802,32,2,610000,21,9
04019002803,34,2,480000,27,5
04019002901,79,4,1380000,65,10
04019002904,56,1,345000,51,4
04019002905,62,2,570000,57,3
04019002906,37,2,790000,33,2
04019003002,65,7,2045000,50,8
04019003003,40,7,2005000,29,4
04019003004,27,0,0,25,2
04019003102,50,0,0,41,9
04019003103,27,4,1420000,18,5
04019003104,21,3,1225000,16,2
04019003201,43,2,460000,35,6
04019003202,31,2,640000,27,2
04019003302,105,10,2650000,71,24
04019003303,40,3,1025000,32,5
04019003304,29,3,995000,25,1
04019003400,83,7,2065000,55,21
04019003502,57,7,1655000,45,5
04019003503,64,10,2940000,32,22
04019003504,67,3,675000,41,23
04019003505,51,2,420000,36,13
04019003506,26,5,1095000,14,7
04019003702,38,0,0,16,22
04019003704,56,3,725000,31,22
04019003705,47,3,775000,29,15
04019003706,55,9,1995000,32,14
04019003707,29,5,1375000,14,10
04019003801,46,2,500000,29,15
04019003802,50,1,235000,32,17
04019003901,26,2,480000,15,9
04019003902,27,0,0,16,11
04019003903,46,3,765000,25,18
04019004008,90,11,3105000,58,21
04019004010,51,5,1455000,33,13
04019004026,103,13,4435000,76,14
04019004029,106,18,4660000,60,28
04019004030,43,1,605000,41,1
04019004031,75,6,1980000,62,7
04019004032,56,6,2070000,39,11
04019004033,61,7,1835000,38,16
04019004034,70,13,3645000,37,20
04019004035,45,4,1160000,33,8
04019004036,64,7,1955000,36,21
04019004037,48,7,2055000,29,12
04019004038,60,6,1260000,27,27
04019004039,14,0,0,12,2
04019004042,80,6,1980000,63,11
04019004043,71,6,2040000,54,11
04019004044,100,7,3105000,79,14
04019004046,74,8,2880000,54,12
04019004047,69,6,2020000,55,8
04019004048,68,8,2220000,50,10
04019004049,52,8,2480000,35,9
04019004050,31,4,2320000,26,1
04019004051,103,12,7620000,89,2
04019004052,49,2,840000,46,1
04019004053,58,7,3905000,48,3
04019004054,26,4,2300000,22,0
04019004055,52,5,3135000,44,3
04019004056,49,8,2320000,37,4
04019004057,104,18,5700000,69,17
04019004058,158,34,11140000,87,37
04019004061,138,20,9140000,102,16
04019004062,312,98,36600000,171,43
04019004063,274,68,29630000,179,27
04019004065,75,24,8020000,40,11
04019004066,67,14,4410000,41,12
04019004067,64,5,585000,48,11
04019004068,65,5,1475000,48,12
04019004069,61,5,1275000,37,19
04019004070,40,9,2665000,24,7
04019004071,54,7,1715000,39,8
04019004072,31,4,1240000,24,3
04019004073,334,96,33960000,177,61
04019004074,42,12,3450000,22,8
04019004075,43,8,2270000,29,6
04019004076,98,17,4845000,58,23
04019004077,73,15,4995000,43,15
04019004078,71,7,2175000,46,18
04019004079,37,6,3320000,30,1
04019004080,56,1,505000,52,3
04019004081,375,100,45410000,239,36
04019004082,198,54,22110000,118,26
04019004109,170,39,15695000,103,28
04019004110,34,1,285000,21,12
04019004112,35,1,265000,19,15
04019004114,42,6,3120000,29,7
04019004115,41,4,1120000,17,20
04019004116,53,5,1395000,30,18
04019004117,73,2,510000,47,24
04019004118,145,28,8930000,58,59
04019004122,52,6,1690000,30,16
04019004126,281,85,31655000,144,48
04019004127,120,28,11740000,80,12
04019004128,57,17,5375000,26,14
04019004129,145,16,7990000,122,7
04019004130,77,11,5585000,64,2
04019004131,148,29,8605000,85,34
04019004132,95,32,10610000,47,16
04019004133,23,2,480000,21,0
04019004307,113,19,4395000,72,21
04019004310,36,1,475000,27,8
04019004311,71,9,3105000,47,15
04019004312,64,11,2305000,36,17
04019004313,80,10,2570000,37,33
04019004316,46,2,580000,32,12
04019004317,118,11,2535000,95,12
04019004320,13,1,415000,6,6
04019004321,80,6,1740000,45,29
04019004322,94,8,2220000,55,31
04019004323,87,16,5190000,46,22
04019004324,87,9,2225000,76,2
04019004325,40,2,510000,36,2
04019004326,220,49,16875000,98,68
04019004327,109,14,4510000,78,14
04019004328,109,12,3270000,83,14
04019004330,58,4,930000,47,7
04019004332,42,5,1475000,32,5
04019004333,126,15,4765000,63,48
04019004335,192,27,8615000,119,42
04019004336,211,43,15925000,114,51
04019004337,61,9,2395000,40,11
04019004338,25,3,985000,20,2
04019004339,280,45,15135000,134,101
04019004340,161,23,6965000,80,58
04019004404,63,7,1505000,40,16
04019004407,78,6,1530000,46,26
04019004412,48,3,915000,36,9
04019004413,80,3,1025000,67,10
04019004414,41,1,375000,35,5
04019004415,40,2,590000,31,7
04019004418,69,1,555000,66,2
04019004419,137,29,8315000,70,38
04019004422,93,2,650000,83,8
04019004423,90,6,1870000,53,31
04019004424,67,13,3035000,32,22
04019004425,123,30,8880000,57,36
04019004426,61,4,1530000,52,5
04019004428,76,4,2350000,67,5
04019004430,223,25,8985000,133,65
04019004431,477,66,25110000,310,101
04019004432,35,5,1315000,23,7
04019004433,74,11,5395000,57,6
04019004434,60,10,3480000,28,22
04019004435,89,17,4515000,48,24
04019004436,234,43,17325000,160,31
04019004437,77,10,3860000,54,13
04019004438,76,10,3620000,50,16
04019004439,54,6,2980000,43,5
04019004440,85,14,5080000,62,9
04019004505,31,0,0,23,8
04019004506,47,4,970000,21,22
04019004508,39,3,685000,22,14
04019004510,17,0,0,11,6
04019004511,41,5,1095000,29,7
04019004512,48,3,715000,22,23
04019004513,39,1,175000,24,14
04019004514,12,1,295000,9,2
04019004515,76,5,1695000,55,16
04019004610,101,9,2695000,72,20
04019004613,40,1,195000,29,10
04019004614,63,7,2445000,55,1
04019004615,53,1,415000,51,1
04019004616,50,5,1965000,42,3
04019004617,54,3,565000,46,5
04019004618,70,1,245000,58,11
04019004619,63,3,2255000,59,1
04019004620,15,2,1010000,12,1
04019004621,45,2,900000,38,5
04019004622,42,3,1535000,35,4
04019004623,179,15,6105000,141,23
04019004624,113,12,3870000,77,24
04019004625,17,0,0,13,4
04019004626,16,1,335000,14,1
04019004627,47,4,1340000,34,9
04019004628,18,2,920000,12,4
04019004630,22,2,820000,17,3
04019004631,114,12,4270000,86,16
04019004632,93,10,3920000,69,14
04019004633,74,3,1145000,69,2
04019004634,132,9,5295000,121,2
04019004635,98,5,2675000,87,6
04019004636,151,15,7445000,126,10
04019004639,224,27,12335000,181,16
04019004640,173,10,5510000,157,6
04019004641,68,4,1630000,60,4
04019004642,94,6,1900000,80,8
04019004643,90,10,3180000,74,6
04019004644,67,9,2865000,51,7
04019004645,106,11,3795000,61,34
04019004646,88,10,3240000,67,11
04019004647,89,6,1970000,65,18
04019004648,244,27,10885000,185,32
04019004649,32,1,315000,31,0
04019004650,134,10,5410000,123,1
04019004710,82,2,680000,79,1
04019004711,89,5,1945000,83,1
04019004712,55,1,1495000,53,1
04019004713,80,3,1895000,71,6
04019004714,94,5,2815000,86,3
04019004715,79,9,2625000,52,18
04019004717,43,1,1185000,42,0
04019004718,47,2,930000,45,0
04019004720,37,1,485000,36,0
04019004721,58,5,2345000,50,3
04019004722,52,4,3310000,47,1
04019004723,107,7,3035000,98,2
04019004724,66,4,2170000,62,0
04019004725,29,0,0,24,5
04019004726,54,4,2520000,48,2
04019004727,46,8,3210000,33,5
04019004728,73,1,465000,69,3
04019004729,66,4,3390000,62,0
04019004730,61,5,5405000,55,1
04019005200,57,7,1015000,41,9
04019005300,54,4,2560000,50,0
04019005400,54,2,870000,43,9
04019940800,1,0,0,1,0
04019941000,1,0,0,0,1
04019980002,1,0,0,0,1
04021000201,332,45,17655000,237,50
04021000204,643,45,19605000,406,192
04021000206,492,23,9665000,402,67
04021000208,522,51,17865000,246,215
04021000211,226,22,7940000,127,77
04021000212,289,29,10325000,155,105
04021000215,199,13,9245000,169,17
04021000216,106,14,5330000,63,29
04021000217,320,28,12040000,206,86
04021000218,159,18,6770000,103,38
04021000219,87,6,2190000,57,24
04021000220,94,4,1590000,67,23
04021000221,249,19,9965000,170,60
04021000222,170,15,5855000,110,45
04021000223,401,30,13930000,299,72
04021000224,284,33,13065000,185,66
04021000225,82,8,3330000,55,19
04021000226,170,18,7880000,103,49
04021000227,110,15,5425000,66,29
04021000228,66,11,3495000,42,13
04021000229,293,33,14315000,200,60
04021000307,75,6,2660000,55,14
04021000309,34,1,425000,28,5
04021000310,51,5,2175000,35,11
04021000311,70,5,2875000,61,4
04021000312,82,6,1870000,45,30
04021000313,115,11,3175000,67,37
04021000315,93,3,915000,60,30
04021000316,210,13,5855000,188,9
04021000317,30,4,1130000,21,5
04021000319,38,3,1225000,19,16
04021000320,24,2,730000,15,7
04021000321,55,3,1105000,46,6
04021000322,77,4,1090000,43,30
04021000323,52,4,1710000,39,9
04021000324,104,6,1970000,78,20
04021000325,29,4,1300000,17,8
04021000400,42,7,1525000,23,11
04021000603,144,10,4040000,122,12
04021000604,106,6,2770000,95,5
04021000700,68,8,1410000,35,23
04021000802,235,21,9275000,186,28
04021000804,40,13,2505000,16,11
04021000805,368,54,18730000,173,125
04021000806,359,41,14165000,181,127
04021000808,28,4,1540000,20,4
04021000902,74,7,2025000,38,28
04021000903,1,0,0,0,1
04021000904,25,3,975000,16,5
04021001000,78,3,685000,40,28
04021001100,490,55,17235000,223,195
04021001200,98,10,4040000,58,27
04021001303,73,3,1745000,61,9
04021001305,262,24,8420000,150,88
04021001306,156,17,5565000,82,56
04021001307,141,16,4950000,76,49
04021001308,209,22,6750000,90,97
04021001309,159,17,5575000,92,50
04021001310,232,35,12165000,133,64
04021001403,70,7,2435000,45,18
04021001404,100,16,4990000,56,28
04021001405,69,7,2365000,48,14
04021001406,139,19,6745000,70,50
04021001407,161,29,9235000,60,72
04021001408,184,24,7530000,101,59
04021001500,29,0,0,20,9
04021001600,87,7,2235000,52,27
04021001701,30,2,600000,17,11
04021001704,188,18,6770000,100,69
04021001705,249,28,10100000,139,82
04021001706,145,16,5870000,85,44
04021001707,193,19,6835000,84,90
04021001709,671,74,30010000,377,220
04021001712,704,101,36025000,284,319
04021001713,114,15,5235000,63,36
04021001714,217,21,7375000,112,83
04021001715,127,8,2750000,76,43
04021001716,165,21,7955000,105,39
04021001717,190,24,8420000,135,31
04021001900,53,6,1920000,26,19
04021002001,248,19,6825000,165,59
04021002004,37,3,605000,20,12
04021002005,13,3,915000,7,3
04021002104,171,17,4435000,83,66
04021002105,339,38,9540000,141,144
04021002106,30,4,930000,10,15
04021002107,191,44,13830000,81,58
04021002200,57,5,1605000,41,11
04021002300,37,1,155000,17,18
04021002400,15,2,300000,5,8
04021941401,148,16,4930000,54,78
04021941402,18,1,275000,13,4
04023966000,60,12,4840000,45,3
04023966101,110,10,3460000,78,17
04023966103,4,0,0,2,1
04023966106,33,3,1025000,22,8
04023966107,25,1,335000,14,7
04023966108,70,2,570000,43,21
04023966109,128,15,4065000,68,40
04023966110,36,3,785000,14,17
04023966111,109,7,1955000,51,39
04023966200,24,1,175000,15,7
04023966301,22,2,930000,12,8
04023966302,13,0,0,11,2
04023966401,24,1,175000,17,6
04023966402,27,1,295000,20,4
04025000205,33,3,1185000,19,11
04025000206,111,7,3345000,90,14
04025000207,56,6,2130000,43,7
04025000208,33,2,510000,15,16
04025000209,194,33,11605000,116,43
04025000210,57,6,1970000,34,17
04025000211,160,23,8535000,104,33
04025000301,86,4,1840000,79,3
04025000302,26,1,595000,21,4
04025000403,24,2,1120000,18,4
04025000404,49,3,955000,39,7
04025000405,98,13,6375000,79,6
04025000406,41,2,1280000,36,3
04025000407,87,7,3085000,72,8
04025000501,137,14,6150000,117,6
04025000502,111,14,5670000,88,9
04025000604,109,6,1900000,86,17
04025000608,59,12,3460000,32,15
04025000609,75,6,2080000,44,25
04025000611,25,2,520000,18,5
04025000612,26,6,2110000,16,4
04025000613,286,29,11755000,232,25
04025000614,10,1,325000,6,3
04025000615,68,11,4235000,49,8
04025000616,60,7,3045000,47,6
04025000617,54,6,1640000,39,9
04025000618,50,2,640000,41,7
04025000619,125,19,7755000,85,21
04025000701,91,6,2430000,74,11
04025000702,53,6,1750000,31,16
04025000802,76,3,2055000,68,5
04025000803,6,1,335000,5,0
04025000804,64,3,1885000,59,2
04025000901,13,0,0,12,1
04025000902,21,2,910000,16,3
04025001002,71,1,625000,64,6
04025001003,7,0,0,7,0
04025001004,72,2,1020000,69,1
04025001103,42,1,235000,37,4
04025001104,94,5,2855000,78,11
04025001105,43,2,1100000,41,0
04025001106,27,0,0,27,0
04025001201,105,3,2075000,100,2
04025001202,109,9,5315000,92,8
04025001300,10,0,0,10,0
04025001401,62,2,480000,44,15
04025001402,219,14,4940000,187,18
04025001403,95,13,3555000,55,26
04025001501,64,5,2445000,49,10
04025001502,101,18,4810000,49,33
04025001601,91,6,2200000,70,15
04025001602,77,8,2380000,52,17
04025001604,45,4,1080000,30,11
04025001605,88,7,2235000,51,30
04025001701,129,9,3475000,101,19
04025001703,88,1,345000,80,7
04025001704,34,1,315000,33,0
04025001705,86,2,930000,77,7
04025001801,92,3,2325000,87,2
04025001803,37,2,1090000,35,0
04025001804,67,5,3275000,59,3
04025001901,84,7,2825000,68,9
04025001902,88,9,3495000,62,17
04025001903,193,23,11435000,150,20
04025001904,246,18,9050000,211,17
04025002001,60,2,610000,53,4
04025002002,87,3,1175000,58,26
04025002003,64,2,820000,45,17
04025002005,60,4,1840000,50,6
04025002006,39,1,465000,33,5
04025002007,102,10,4020000,76,16
04025002100,40,9,2455000,26,5
04027000100,14,2,610000,9,3
04027000200,38,3,855000,16,19
04027000301,22,1,195000,14,7
04027000302,21,1,325000,15,5
04027000402,43,1,335000,28,14
04027000403,8,0,0,7,1
04027000404,18,4,940000,9,5
04027000501,24,2,570000,13,9
04027000502,40,4,860000,26,9
04027000600,59,3,795000,33,23
04027000700,32,1,225000,22,9
04027000800,76,12,3350000,47,17
04027000901,62,8,2160000,32,22
04027000902,30,4,940000,15,11
04027000903,57,14,4480000,24,19
04027000907,67,8,2620000,39,20
04027000908,142,31,12955000,91,20
04027000909,62,4,1040000,37,21
04027000910,34,8,2780000,20,6
04027001001,34,9,2415000,19,6
04027001003,9,1,345000,6,2
04027001004,19,2,530000,10,7
04027001100,68,8,1990000,43,17
04027001200,66,8,2050000,44,14
04027010907,211,66,22900000,114,31
04027010910,22,3,785000,11,8
04027010911,109,24,8290000,66,19
04027010913,9,1,285000,4,4
04027010914,15,1,205000,14,0
04027010915,45,9,2375000,21,14
04027010916,7,0,0,3,4
04027011000,15,1,185000,11,2
04027011107,100,24,10280000,64,12
04027011108,90,29,9445000,42,19
04027011112,65,12,2250000,32,21
04027011114,73,18,3500000,32,23
04027011116,31,8,1790000,14,9
