census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
04013061036,127,19,9045000,79,29
04013061037,167,22,9810000,123,22
04013061038,111,13,4995000,69,29
04013061039,230,35,19295000,175,20
04013061040,78,5,1915000,49,24
04013061041,65,2,720000,39,24
04013061042,38,1,175000,27,10
04013061043,49,3,1295000,32,14
04013061044,738,128,60040000,425,185
04013061045,435,52,33620000,332,51
04013061046,67,8,3680000,47,12
04013061047,96,6,3180000,77,13
04013061048,80,8,3500000,56,16
04013061049,107,10,4140000,69,28
04013061050,129,10,3820000,95,24
04013061051,99,7,2985000,67,25
04013061052,199,22,9240000,125,52
04013061053,166,19,7905000,119,28
04013061054,225,10,4820000,208,7
04013061055,103,10,5780000,79,14
04013061056,148,15,9225000,124,9
04013061057,127,20,9570000,87,20
04013061058,244,33,15365000,144,67
04013061059,128,17,7685000,86,25
04013061060,61,12,4450000,38,11
04013061061,65,8,3350000,42,15
04013061062,165,23,10585000,111,31
04013061063,16,1,265000,13,2
04013061064,60,4,1650000,53,3
04013061200,37,2,730000,23,12
04013061300,18,0,0,11,7
04013061401,13,0,0,9,4
04013061402,81,6,2280000,43,32
04013071503,171,18,4620000,122,31
04013071504,120,20,5830000,83,17
04013071505,223,21,6205000,162,40
04013071506,126,12,3460000,103,11
04013071509,95,7,3165000,80,8
04013071510,83,1,925000,77,5
04013071511,61,4,1050000,40,17
04013071512,120,5,1375000,100,15
04013071513,30,0,0,25,5
04013071514,65,2,850000,58,5
04013071515,67,9,3975000,53,5
04013071516,59,7,1905000,40,12
04013071517,73,5,1955000,51,17
04013071600,78,6,1750000,49,23
04013071701,107,10,3850000,68,29
04013071702,143,17,4115000,91,35
04013071801,174,13,3615000,108,52
04013071802,116,13,3655000,85,18
04013071903,122,9,3655000,86,27
04013071906,89,10,3510000,58,21
04013071909,109,9,2745000,77,23
04013071910,119,5,1895000,84,30
04013071911,58,4,1550000,34,20
04013071912,40,1,375000,35,4
04013071913,62,4,1460000,45,13
04013071914,45,1,395000,27,16
04013071915,49,6,2110000,31,12
04013082002,167,15,5525000,106,46
04013082007,71,3,655000,53,15
04013082008,54,3,815000,28,23
04013082009,65,0,0,42,23
04013082010,42,1,365000,34,7
04013082012,96,8,2880000,57,31
04013082016,247,12,5140000,177,58
04013082017,53,2,1060000,39,12
04013082018,56,1,275000,40,15
04013082019,50,9,3965000,36,5
04013082020,89,12,4960000,58,19
04013082021,47,3,1225000,34,10
04013082022,50,1,405000,35,14
04013082023,117,6,2380000,79,32
04013082024,53,1,445000,41,11
04013082025,62,4,1490000,33,25
04013082026,93,7,2945000,55,31
04013082027,363,28,12100000,209,126
04013082028,62,1,225000,40,21
04013082204,259,20,7910000,117,122
04013082205,87,4,1470000,50,33
04013082206,153,4,1600000,68,81
04013082207,492,46,19500000,173,273
04013082208,291,28,12580000,153,110
04013082209,28,1,195000,16,11
04013082210,82,6,2410000,57,19
04013082211,176,16,6570000,103,57
04013082212,176,11,4625000,104,61
04013082213,91,5,1755000,58,28
04013083000,64,3,1085000,46,15
04013092305,71,4,1680000,52,15
04013092306,142,9,2635000,92,41
04013092307,113,5,1955000,72,36
04013092308,122,5,1925000,70,47
04013092309,135,11,3925000,97,27
04013092311,35,0,0,22,13
04013092312,53,3,1125000,40,10
04013092401,57,2,460000,33,22
04013092402,48,4,1320000,30,14
04013092500,59,2,740000,42,15
04013092600,32,5,1525000,17,10
04013092705,50,2,410000,34,14
04013092708,26,0,0,25,1
04013092709,81,3,1255000,60,18
04013092710,95,5,1655000,76,14
04013092711,51,4,2020000,39,8
04013092712,66,1,385000,46,19
04013092713,71,3,1095000,56,12
04013092715,44,2,630000,27,15
04013092716,49,1,315000,33,15
04013092717,32,0,0,29,3
04013092718,33,3,885000,21,9
04013092719,58,6,2170000,39,13
04013092720,409,25,11715000,328,56
04013092721,146,9,5195000,114,23
04013092723,95,4,1160000,72,19
04013092724,108,5,1555000,66,37
04013092801,22,1,265000,18,3
04013092802,43,1,295000,25,17
04013092900,9,0,0,6,3
04013093001,71,4,950000,48,18
04013093002,45,4,1290000,28,13
04013093101,48,1,215000,39,8
04013093104,12,0,0,12,0
04013093105,36,0,0,25,11
04013093106,39,0,0,26,13
04013093200,26,2,770000,18,6
04013103205,69,4,2250000,65,0
04013103206,69,0,0,68,1
04013103207,60,2,1600000,58,0
04013103208,88,1,435000,82,5
04013103209,132,0,0,126,6
04013103210,74,1,515000,70,3
04013103211,98,3,2125000,86,9
04013103212,109,0,0,106,3
04013103214,89,1,475000,84,4
04013103215,66,2,980000,62,2
04013103216,119,7,4485000,107,5
04013103217,90,1,395000,86,3
04013103219,90,1,915000,87,2
04013103220,44,0,0,43,1
04013103302,99,5,2505000,77,17
04013103303,69,3,1105000,56,10
04013103304,30,1,365000,25,4
04013103305,17,0,0,14,3
04013103306,31,2,480000,26,3
04013103400,88,4,1400000,71,13
04013103501,52,1,1175000,43,8
04013103502,117,2,890000,99,16
04013103604,49,2,990000,40,7
04013103605,165,3,1655000,153,9
04013103606,117,3,875000,99,15
04013103607,104,5,2035000,87,12
04013103608,79,4,1230000,63,11
04013103609,63,6,2050000,45,11
04013103611,113,5,2195000,101,7
04013103612,71,3,1375000,66,2
04013103614,73,5,2105000,56,12
04013103615,48,2,480000,39,7
04013103701,79,1,185000,69,8
04013103702,65,3,1705000,58,4
04013103900,120,8,2550000,88,24
04013104000,83,7,2375000,49,27
04013104100,116,3,925000,75,38
04013104202,114,6,2300000,83,25
04013104203,112,8,2860000,75,28
04013104204,60,5,1875000,37,18
04013104205,61,1,425000,42,18
04013104206,88,4,1460000,63,21
04013104207,81,4,1290000,60,17
04013104212,99,7,2645000,73,19
04013104214,45,2,760000,37,6
04013104215,70,3,1045000,54,13
04013104216,92,8,3240000,68,16
04013104217,143,6,2550000,112,25
04013104218,65,0,0,56,9
04013104219,66,1,285000,51,14
04013104221,127,10,3150000,94,23
04013104222,83,2,520000,62,19
04013104223,31,1,705000,25,5
04013104224,97,9,3075000,73,15
04013104225,70,2,570000,59,9
04013104226,76,5,1505000,60,11
04013104227,40,3,1065000,29,8
04013104301,83,3,935000,60,20
04013104302,52,3,805000,41,8
04013104401,43,1,425000,34,8
04013104402,2,0,0,2,0
04013104501,26,2,710000,20,4
04013104502,44,1,295000,33,10
04013104600,60,4,1650000,42,14
04013104701,83,5,1385000,68,10
04013104702,37,1,225000,27,9
04013104801,96,4,2160000,91,1
04013104802,121,2,1070000,111,8
04013104900,86,1,525000,78,7
04013105002,80,1,2565000,77,2
04013105003,100,0,0,98,2
04013105004,66,0,0,66,0
