census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
06037910502,36,1,455000,21,14
06073020029,25,0,0,24,1
06037540000,21,1,755000,16,4
06065043403,45,6,2060000,19,20
06073016000,35,5,3525000,28,2
06029003215,36,0,0,28,8
06081607701,37,0,0,37,0
06037216700,33,0,0,33,0
06055201006,43,0,0,40,3
06037703002,113,0,0,110,3
06037544001,38,0,0,32,6
06111005403,26,1,885000,24,1
06037220100,26,0,0,25,1
06065043404,63,10,2620000,29,24
06081607702,22,0,0,22,0
06017030301,53,0,0,46,7
06029003216,40,3,935000,29,8
06037703003,86,1,515000,77,8
06067007206,81,2,900000,65,13
06055201007,45,1,635000,35,9
06065043405,29,2,550000,18,9
06067007207,66,1,395000,52,13
06017030302,52,2,1540000,47,3
06083002005,108,10,7150000,87,11
06037544002,35,1,695000,23,11
06037910504,47,1,305000,30,16
06039000301,39,0,0,26,13
06037113231,30,0,0,29,1
06111005404,58,4,2630000,49,5
06097153710,46,1,485000,45,0
06029003217,37,2,750000,27,8
06085502800,53,0,0,53,0
06067004011,14,0,0,13,1
06037124902,8,0,0,8,0
06039000302,53,4,1190000,28,19
06037113232,78,1,935000,73,4
06067007208,58,4,2030000,45,9
06029003218,170,3,1145000,114,53
06097153711,28,0,0,27,1
06037910505,35,1,405000,23,11
06083002006,66,9,6865000,53,4
06013349000,60,0,0,60,0
06037124903,22,0,0,20,2
06067007209,58,4,1780000,36,18
06067004012,41,0,0,40,1
06029003219,89,2,640000,60,27
06037297201,20,0,0,18,2
06097153712,17,0,0,16,1
06085506801,119,0,0,118,1
06037297202,21,0,0,19,2
06037113234,23,0,0,20,3
06113010510,21,1,815000,20,0
06021010200,61,4,1610000,53,4
06037530801,34,2,1530000,28,4
06085506802,74,0,0,72,2
06059001710,47,0,0,44,3
06107001400,44,2,830000,32,10
06037231500,55,0,0,47,8
06083002008,109,13,6925000,76,20
06073006801,42,5,3945000,35,2
06067004013,52,0,0,47,5
06037113235,25,0,0,21,4
06037293203,10,0,0,10,0
06037530802,25,0,0,22,3
06073006802,48,7,4765000,40,1
06037239501,18,1,665000,11,6
06037534802,8,0,0,4,4
06067004014,29,2,1170000,26,1
06085506803,71,0,0,70,1
06083002009,64,4,2650000,52,8
06037463601,46,0,0,46,0
06113010511,27,0,0,27,0
06037143700,78,0,0,78,0
06113010512,12,0,0,11,1
06019007700,34,2,660000,25,6
06037239502,22,1,585000,13,8
06037463602,70,0,0,70,0
06067004015,48,1,635000,45,2
06037534803,26,0,0,20,6
06037293204,27,2,1890000,24,1
06047000801,47,2,590000,35,10
06085506804,66,0,0,66,0
06001441800,75,0,0,75,0
06037405900,44,0,0,35,9
06037534804,11,0,0,8,3
06113010513,4,0,0,4,0
06047000802,63,6,1910000,45,12
06019003701,35,3,955000,18,14
06037106641,32,2,2110000,30,0
06067004016,32,0,0,29,3
06037293205,34,2,1610000,28,4
06037113237,46,1,945000,42,3
06019003702,64,7,2275000,42,15
06073021600,27,2,1660000,25,0
06067004017,27,1,415000,26,0
06105000500,28,0,0,20,6
06037106642,55,0,0,51,4
06077001101,64,4,1680000,43,17
06059063101,29,0,0,29,0
06037401902,54,0,0,54,0
06037293206,9,0,0,9,0
06001404700,38,1,1485000,37,0
06001408700,64,0,0,55,9
06001400700,50,0,0,47,3
06037113238,25,0,0,22,3
06037113239,4,0,0,4,0
06067004018,35,0,0,32,3
06037574201,53,3,2375000,48,2
06059063102,75,1,745000,72,2
06037106643,67,1,675000,66,0
06007001400,77,1,1325000,72,4
06097153403,39,0,0,38,1
06077001102,76,1,375000,52,23
06037482401,15,0,0,14,1
06037570202,56,1,515000,48,7
06059001401,57,1,755000,51,5
06067004019,17,0,0,16,1
06113010201,49,2,880000,43,4
06081600200,18,1,835000,17,0
06037106603,55,0,0,53,2
06037301000,32,0,0,31,1
06059063103,42,0,0,42,0
06053013600,25,2,1160000,21,2
06097153404,53,0,0,52,1
06037574202,24,0,0,23,1
06037570203,14,0,0,10,4
06037106604,21,0,0,18,3
06059001402,52,0,0,45,7
06023000200,43,1,305000,37,5
06037800406,32,0,0,32,0
06037183101,47,0,0,44,3
06037600302,37,0,0,24,13
06037106645,71,0,0,65,6
06061023300,127,12,7250000,94,21
06097153405,38,0,0,36,2
06037217200,26,0,0,25,1
06089010803,69,7,2125000,53,9
06037213201,7,0,0,7,0
06037482403,6,0,0,6,0
06037570204,29,0,0,21,8
06037600303,16,0,0,16,0
06099003100,26,1,795000,20,5
06059001403,48,0,0,45,3
06097153406,20,0,0,20,0
06037106646,48,0,0,43,5
06113010203,21,0,0,20,1
06089010804,38,3,1065000,33,2
06041103100,108,1,1405000,105,2
06059074501,15,0,0,12,3
06037213202,11,0,0,11,0
06037600304,11,0,0,9,2
06059001404,27,1,515000,20,6
06037183103,12,1,905000,9,2
06059074502,14,0,0,12,2
